# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
8.907000000000000028e+00 3.195000000000000027e-23
9.221999999999999531e+00 5.327000000000000015e-23
9.548000000000000043e+00 8.874000000000000221e-23
9.884999999999999787e+00 1.443000000000000109e-22
1.023000000000000043e+01 2.319000000000000068e-22
1.059999999999999964e+01 3.683999999999999943e-22
1.097000000000000064e+01 5.784000000000000257e-22
1.135999999999999943e+01 8.978000000000000220e-22
1.175999999999999979e+01 1.377999999999999945e-21
1.216999999999999993e+01 2.106000000000000129e-21
1.259999999999999964e+01 3.160999999999999944e-21
1.305000000000000071e+01 4.756000000000000082e-21
1.350999999999999979e+01 7.036999999999999249e-21
1.399000000000000021e+01 1.032000000000000014e-20
1.448000000000000043e+01 1.483000000000000121e-20
1.499000000000000021e+01 2.127999999999999866e-20
1.551999999999999957e+01 2.998999999999999772e-20
1.607000000000000028e+01 4.190000000000000070e-20
1.664000000000000057e+01 5.838000000000000251e-20
1.723000000000000043e+01 8.013000000000000234e-20
1.782999999999999829e+01 1.091000000000000107e-19
1.846000000000000085e+01 1.473000000000000030e-19
1.912000000000000099e+01 1.973000000000000017e-19
1.978999999999999915e+01 2.637999999999999945e-19
2.048999999999999844e+01 3.479999999999999972e-19
2.121000000000000085e+01 4.557000000000000096e-19
2.196000000000000085e+01 5.926000000000000284e-19
2.273999999999999844e+01 7.651999999999999805e-19
2.353999999999999915e+01 9.814999999999999389e-19
2.437000000000000099e+01 1.256000000000000096e-18
2.523999999999999844e+01 1.590000000000000014e-18
2.612999999999999901e+01 2.000000000000000143e-18
2.705000000000000071e+01 2.498999999999999953e-18
2.801000000000000156e+01 3.105999999999999882e-18
2.898999999999999844e+01 3.836000000000000234e-18
3.001999999999999957e+01 4.710999999999999815e-18
3.107999999999999829e+01 5.754000000000000352e-18
3.217999999999999972e+01 6.999999999999999730e-18
3.331000000000000227e+01 8.456000000000000303e-18
3.449000000000000199e+01 1.015999999999999986e-17
3.571000000000000085e+01 1.214000000000000011e-17
3.696999999999999886e+01 1.444000000000000020e-17
3.827000000000000313e+01 1.709000000000000074e-17
3.963000000000000256e+01 2.012000000000000079e-17
4.103000000000000114e+01 2.356000000000000098e-17
4.247999999999999687e+01 2.746999999999999943e-17
4.397999999999999687e+01 3.187000000000000067e-17
4.553000000000000114e+01 3.680000000000000140e-17
4.714000000000000057e+01 4.229999999999999833e-17
4.879999999999999716e+01 4.838000000000000295e-17
5.053000000000000114e+01 5.507999999999999966e-17
5.231000000000000227e+01 6.244999999999999665e-17
5.415999999999999659e+01 7.043000000000000503e-17
5.607000000000000028e+01 7.904999999999999768e-17
5.804999999999999716e+01 8.830999999999999925e-17
6.010000000000000142e+01 9.818999999999999907e-17
6.222999999999999687e+01 1.086999999999999963e-16
6.442000000000000171e+01 1.197000000000000025e-16
6.670000000000000284e+01 1.311999999999999921e-16
6.906000000000000227e+01 1.430999999999999981e-16
7.148999999999999488e+01 1.553999999999999959e-16
7.401999999999999602e+01 1.679000000000000018e-16
7.662999999999999545e+01 1.805999999999999912e-16
7.934000000000000341e+01 1.933999999999999970e-16
8.214000000000000057e+01 2.059000000000000029e-16
8.504000000000000625e+01 2.185000000000000006e-16
8.804999999999999716e+01 2.308000000000000230e-16
9.115999999999999659e+01 2.426999999999999797e-16
9.437999999999999545e+01 2.542000000000000186e-16
9.770999999999999375e+01 2.652000000000000002e-16
1.012000000000000028e+02 2.755999999999999818e-16
1.047000000000000028e+02 2.851999999999999800e-16
1.084000000000000057e+02 2.940999999999999866e-16
1.122999999999999972e+02 3.023000000000000015e-16
1.162000000000000028e+02 3.095999999999999920e-16
1.202999999999999972e+02 3.161999999999999907e-16
1.245999999999999943e+02 3.219000000000000143e-16
1.290000000000000000e+02 3.268000000000000052e-16
1.335000000000000000e+02 3.310000000000000044e-16
1.383000000000000114e+02 3.342999999999999792e-16
1.430999999999999943e+02 3.368000000000000198e-16
1.481999999999999886e+02 3.386000000000000194e-16
1.534000000000000057e+02 3.396999999999999782e-16
1.589000000000000057e+02 3.401999999999999863e-16
1.645000000000000000e+02 3.399000000000000110e-16
1.703000000000000114e+02 3.390999999999999783e-16
1.763000000000000114e+02 3.377999999999999867e-16
1.825000000000000000e+02 3.359999999999999871e-16
1.890000000000000000e+02 3.336999999999999793e-16
1.955999999999999943e+02 3.310000000000000044e-16
2.025999999999999943e+02 3.276999999999999804e-16
2.096999999999999886e+02 3.243000000000000139e-16
2.170999999999999943e+02 3.206000000000000228e-16
2.248000000000000114e+02 3.165000000000000153e-16
2.326999999999999886e+02 3.123000000000000161e-16
2.409000000000000057e+02 3.077999999999999923e-16
2.495000000000000000e+02 3.031999999999999767e-16
2.583000000000000114e+02 2.982999999999999858e-16
2.673999999999999773e+02 2.933000000000000032e-16
2.768000000000000114e+02 2.880999999999999877e-16
2.866000000000000227e+02 2.827999999999999805e-16
2.966999999999999886e+02 2.773999999999999815e-16
3.071999999999999886e+02 2.718999999999999907e-16
3.181000000000000227e+02 2.664000000000000000e-16
3.293000000000000114e+02 2.608000000000000174e-16
3.408999999999999773e+02 2.551999999999999856e-16
3.530000000000000000e+02 2.496000000000000031e-16
3.653999999999999773e+02 2.438999999999999795e-16
3.783000000000000114e+02 2.382999999999999969e-16
3.916999999999999886e+02 2.326000000000000226e-16
4.055000000000000000e+02 2.269999999999999908e-16
4.198999999999999773e+02 2.214000000000000083e-16
4.346999999999999886e+02 2.158000000000000011e-16
4.501000000000000227e+02 2.103000000000000103e-16
4.660000000000000000e+02 2.047999999999999949e-16
4.823999999999999773e+02 1.993999999999999959e-16
4.995000000000000000e+02 1.939000000000000052e-16
5.171000000000000227e+02 1.885999999999999979e-16
5.353999999999999773e+02 1.834000000000000071e-16
5.542999999999999545e+02 1.781999999999999916e-16
5.737999999999999545e+02 1.730999999999999926e-16
5.941000000000000227e+02 1.679999999999999935e-16
6.151000000000000227e+02 1.631000000000000027e-16
6.367999999999999545e+02 1.582000000000000118e-16
6.592999999999999545e+02 1.533999999999999880e-16
6.826000000000000227e+02 1.487000000000000053e-16
7.067000000000000455e+02 1.440999999999999897e-16
7.317000000000000455e+02 1.395999999999999906e-16
7.575000000000000000e+02 1.352000000000000078e-16
7.842999999999999545e+02 1.308999999999999922e-16
8.120000000000000000e+02 1.266000000000000012e-16
8.407000000000000455e+02 1.224999999999999937e-16
8.703999999999999773e+02 1.184000000000000109e-16
9.011000000000000227e+02 1.143999999999999952e-16
9.328999999999999773e+02 1.106000000000000001e-16
9.658999999999999773e+02 1.068000000000000049e-16
1.000000000000000000e+03 1.031000000000000014e-16
-----------------------


C11 N2 Excitation 2.35 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 6.634000000000000104e-30
5.479000000000000092e+00 1.173000000000000042e-29
5.671999999999999709e+00 2.148999999999999871e-29
5.873000000000000220e+00 4.074999999999999919e-29
6.080000000000000071e+00 7.979000000000000357e-29
6.294999999999999929e+00 1.606999999999999938e-28
6.517000000000000348e+00 3.310999999999999856e-28
6.748000000000000220e+00 6.930000000000000073e-28
6.985999999999999766e+00 1.463999999999999987e-27
7.232999999999999652e+00 3.104000000000000079e-27
7.488000000000000433e+00 6.562000000000000132e-27
7.753000000000000114e+00 1.378000000000000059e-26
8.025999999999999801e+00 2.864999999999999924e-26
8.310000000000000497e+00 5.882000000000000335e-26
8.602999999999999758e+00 1.190000000000000075e-25
8.907000000000000028e+00 2.372000000000000172e-25
9.221999999999999531e+00 4.648999999999999694e-25
9.548000000000000043e+00 9.203000000000000575e-25
9.884999999999999787e+00 1.743999999999999838e-24
1.023000000000000043e+01 3.249000000000000168e-24
1.059999999999999964e+01 5.954999999999999853e-24
1.097000000000000064e+01 1.072999999999999937e-23
1.135999999999999943e+01 1.903999999999999899e-23
1.175999999999999979e+01 3.323000000000000252e-23
1.216999999999999993e+01 5.772999999999999560e-23
1.259999999999999964e+01 9.756999999999999447e-23
1.305000000000000071e+01 1.659999999999999973e-22
1.350999999999999979e+01 2.753999999999999858e-22
1.399000000000000021e+01 4.508000000000000372e-22
1.448000000000000043e+01 7.162000000000000014e-22
1.499000000000000021e+01 1.137999999999999990e-21
1.551999999999999957e+01 1.760000000000000048e-21
1.607000000000000028e+01 2.688000000000000101e-21
1.664000000000000057e+01 4.096999999999999751e-21
1.723000000000000043e+01 6.105999999999999759e-21
1.782999999999999829e+01 8.996000000000000607e-21
1.846000000000000085e+01 1.311000000000000068e-20
1.912000000000000099e+01 1.889999999999999850e-20
1.978999999999999915e+01 2.720999999999999932e-20
2.048999999999999844e+01 3.839999999999999886e-20
2.121000000000000085e+01 5.365999999999999869e-20
2.196000000000000085e+01 7.429000000000000587e-20
2.273999999999999844e+01 1.019000000000000004e-19
2.353999999999999915e+01 1.384999999999999997e-19
2.437000000000000099e+01 1.876999999999999960e-19
2.523999999999999844e+01 2.505999999999999897e-19
2.612999999999999901e+01 3.316999999999999857e-19
2.705000000000000071e+01 4.356000000000000164e-19
2.801000000000000156e+01 5.674999999999999655e-19
2.898999999999999844e+01 7.335999999999999907e-19
3.001999999999999957e+01 9.412000000000000455e-19
3.107999999999999829e+01 1.198999999999999937e-18
3.217999999999999972e+01 1.520000000000000001e-18
3.331000000000000227e+01 1.906999999999999945e-18
3.449000000000000199e+01 2.377999999999999981e-18
3.571000000000000085e+01 2.943999999999999896e-18
3.696999999999999886e+01 3.621999999999999678e-18
3.827000000000000313e+01 4.426999999999999632e-18
3.963000000000000256e+01 5.375999999999999744e-18
4.103000000000000114e+01 6.491000000000000359e-18
4.247999999999999687e+01 7.784999999999999790e-18
4.397999999999999687e+01 9.279999999999999924e-18
4.553000000000000114e+01 1.100000000000000002e-17
4.714000000000000057e+01 1.294999999999999966e-17
4.879999999999999716e+01 1.516999999999999863e-17
5.053000000000000114e+01 1.766000000000000002e-17
5.231000000000000227e+01 2.045000000000000135e-17
5.415999999999999659e+01 2.353999999999999954e-17
5.607000000000000028e+01 2.693000000000000076e-17
5.804999999999999716e+01 3.065000000000000254e-17
6.010000000000000142e+01 3.467999999999999727e-17
6.222999999999999687e+01 3.901999999999999729e-17
6.442000000000000171e+01 4.364999999999999808e-17
6.670000000000000284e+01 4.862000000000000168e-17
6.906000000000000227e+01 5.380000000000000031e-17
7.148999999999999488e+01 5.920000000000000547e-17
7.401999999999999602e+01 6.480000000000000032e-17
7.662999999999999545e+01 7.054999999999999515e-17
7.934000000000000341e+01 7.641000000000000557e-17
8.214000000000000057e+01 8.227000000000000366e-17
8.504000000000000625e+01 8.819999999999999599e-17
8.804999999999999716e+01 9.408000000000000476e-17
9.115999999999999659e+01 9.987999999999999547e-17
9.437999999999999545e+01 1.055000000000000010e-16
9.770999999999999375e+01 1.110000000000000041e-16
1.012000000000000028e+02 1.163000000000000113e-16
1.047000000000000028e+02 1.212000000000000022e-16
1.084000000000000057e+02 1.259000000000000095e-16
1.122999999999999972e+02 1.302999999999999923e-16
1.162000000000000028e+02 1.343000000000000080e-16
1.202999999999999972e+02 1.379999999999999991e-16
1.245999999999999943e+02 1.412999999999999985e-16
1.290000000000000000e+02 1.442000000000000062e-16
1.335000000000000000e+02 1.467999999999999892e-16
1.383000000000000114e+02 1.490000000000000053e-16
1.430999999999999943e+02 1.508000000000000049e-16
1.481999999999999886e+02 1.523000000000000047e-16
1.534000000000000057e+02 1.533999999999999880e-16
1.589000000000000057e+02 1.541999999999999961e-16
1.645000000000000000e+02 1.545999999999999878e-16
1.703000000000000114e+02 1.547999999999999960e-16
1.763000000000000114e+02 1.547999999999999960e-16
1.825000000000000000e+02 1.544000000000000043e-16
1.890000000000000000e+02 1.538000000000000044e-16
1.955999999999999943e+02 1.529999999999999963e-16
2.025999999999999943e+02 1.520000000000000047e-16
2.096999999999999886e+02 1.508000000000000049e-16
2.170999999999999943e+02 1.493999999999999970e-16
2.248000000000000114e+02 1.478999999999999973e-16
2.326999999999999886e+02 1.461999999999999894e-16
2.409000000000000057e+02 1.443999999999999897e-16
2.495000000000000000e+02 1.424999999999999983e-16
2.583000000000000114e+02 1.404999999999999904e-16
2.673999999999999773e+02 1.383999999999999908e-16
2.768000000000000114e+02 1.361999999999999994e-16
2.866000000000000227e+02 1.338999999999999916e-16
2.966999999999999886e+02 1.314999999999999921e-16
3.071999999999999886e+02 1.292000000000000089e-16
3.181000000000000227e+02 1.266999999999999930e-16
3.293000000000000114e+02 1.242000000000000016e-16
3.408999999999999773e+02 1.217000000000000103e-16
3.530000000000000000e+02 1.191999999999999944e-16
3.653999999999999773e+02 1.166000000000000113e-16
3.783000000000000114e+02 1.140999999999999953e-16
3.916999999999999886e+02 1.115000000000000122e-16
4.055000000000000000e+02 1.089000000000000045e-16
4.198999999999999773e+02 1.062999999999999967e-16
4.346999999999999886e+02 1.038000000000000054e-16
4.501000000000000227e+02 1.011999999999999977e-16
4.660000000000000000e+02 9.863999999999999898e-17
4.823999999999999773e+02 9.610999999999999781e-17
4.995000000000000000e+02 9.358999999999999581e-17
5.171000000000000227e+02 9.109000000000000449e-17
5.353999999999999773e+02 8.862999999999999755e-17
5.542999999999999545e+02 8.619000000000000129e-17
5.737999999999999545e+02 8.379000000000000173e-17
5.941000000000000227e+02 8.141000000000000053e-17
6.151000000000000227e+02 7.906999999999999603e-17
6.367999999999999545e+02 7.676000000000000139e-17
6.592999999999999545e+02 7.449000000000000346e-17
6.826000000000000227e+02 7.225000000000000305e-17
7.067000000000000455e+02 7.004999999999999935e-17
7.317000000000000455e+02 6.789000000000000468e-17
7.575000000000000000e+02 6.579000000000000507e-17
7.842999999999999545e+02 6.371000000000000381e-17
8.120000000000000000e+02 6.167999999999999843e-17
8.407000000000000455e+02 5.968000000000000291e-17
8.703999999999999773e+02 5.772000000000000410e-17
9.011000000000000227e+02 5.582000000000000034e-17
9.328999999999999773e+02 5.395000000000000028e-17
9.658999999999999773e+02 5.214000000000000143e-17
1.000000000000000000e+03 5.036000000000000012e-17
-----------------------


C12 N2 Excitation 6.17 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
